x, f(x), f'(x), f''(x)
 -2.13600000e+00,  4.07546012e-02,  8.70532790e-02,  1.45185010e-01
 -2.12800000e+00,  4.14556734e-02,  8.82191112e-02,  1.46268294e-01
 -2.12000000e+00,  4.21661070e-02,  8.93935717e-02,  1.47341856e-01
 -2.11200000e+00,  4.28859706e-02,  9.05765809e-02,  1.48405250e-01
 -2.10400000e+00,  4.36153323e-02,  9.17680557e-02,  1.49458030e-01
 -2.09600000e+00,  4.43542594e-02,  9.29679093e-02,  1.50499742e-01
 -2.08800000e+00,  4.51028188e-02,  9.41760515e-02,  1.51529931e-01
 -2.08000000e+00,  4.58610763e-02,  9.53923882e-02,  1.52548135e-01
 -2.07200000e+00,  4.66290970e-02,  9.66168217e-02,  1.53553891e-01
 -2.06400000e+00,  4.74069454e-02,  9.78492505e-02,  1.54546731e-01
 -2.05600000e+00,  4.81946850e-02,  9.90895694e-02,  1.55526182e-01
 -2.04800000e+00,  4.89923785e-02,  1.00337669e-01,  1.56491770e-01
 -2.04000000e+00,  4.98000877e-02,  1.01593438e-01,  1.57443016e-01
 -2.03200000e+00,  5.06178735e-02,  1.02856758e-01,  1.58379438e-01
 -2.02400000e+00,  5.14457959e-02,  1.04127509e-01,  1.59300551e-01
 -2.01600000e+00,  5.22839137e-02,  1.05405566e-01,  1.60205867e-01
 -2.00800000e+00,  5.31322849e-02,  1.06690803e-01,  1.61094895e-01
 -2.00000000e+00,  5.39909665e-02,  1.07983085e-01,  1.61967140e-01
 -1.99200000e+00,  5.48600143e-02,  1.09282277e-01,  1.62822108e-01
 -1.98400000e+00,  5.57394829e-02,  1.10588239e-01,  1.63659299e-01
 -1.97600000e+00,  5.66294261e-02,  1.11900826e-01,  1.64478212e-01
 -1.96800000e+00,  5.75298962e-02,  1.13219890e-01,  1.65278344e-01
 -1.96000000e+00,  5.84409443e-02,  1.14545279e-01,  1.66059190e-01
 -1.95200000e+00,  5.93626206e-02,  1.15876837e-01,  1.66820243e-01
 -1.94400000e+00,  6.02949737e-02,  1.17214403e-01,  1.67560995e-01
 -1.93600000e+00,  6.12380511e-02,  1.18557813e-01,  1.68280936e-01
 -1.92800000e+00,  6.21918987e-02,  1.19906898e-01,  1.68979554e-01
 -1.92000000e+00,  6.31565614e-02,  1.21261486e-01,  1.69656337e-01
 -1.91200000e+00,  6.41320825e-02,  1.22621399e-01,  1.70310773e-01
 -1.90400000e+00,  6.51185038e-02,  1.23986458e-01,  1.70942346e-01
 -1.89600000e+00,  6.61158658e-02,  1.25356477e-01,  1.71550543e-01
 -1.88800000e+00,  6.71242075e-02,  1.26731267e-01,  1.72134848e-01
 -1.88000000e+00,  6.81435661e-02,  1.28110634e-01,  1.72694747e-01
 -1.87200000e+00,  6.91739776e-02,  1.29494383e-01,  1.73229724e-01
 -1.86400000e+00,  7.02154762e-02,  1.30882310e-01,  1.73739265e-01
 -1.85600000e+00,  7.12680946e-02,  1.32274211e-01,  1.74222855e-01
 -1.84800000e+00,  7.23318636e-02,  1.33669876e-01,  1.74679981e-01
 -1.84000000e+00,  7.34068126e-02,  1.35069091e-01,  1.75110129e-01
 -1.83200000e+00,  7.44929691e-02,  1.36471638e-01,  1.75512788e-01
 -1.82400000e+00,  7.55903588e-02,  1.37877295e-01,  1.75887448e-01
 -1.81600000e+00,  7.66990058e-02,  1.39285837e-01,  1.76233598e-01
 -1.80800000e+00,  7.78189322e-02,  1.40697033e-01,  1.76550733e-01
 -1.80000000e+00,  7.89501583e-02,  1.42110649e-01,  1.76838346e-01
 -1.79200000e+00,  8.00927026e-02,  1.43526446e-01,  1.77095934e-01
 -1.78400000e+00,  8.12465814e-02,  1.44944184e-01,  1.77322997e-01
 -1.77600000e+00,  8.24118095e-02,  1.46363614e-01,  1.77519035e-01
 -1.76800000e+00,  8.35883993e-02,  1.47784488e-01,  1.77683554e-01
 -1.76000000e+00,  8.47763613e-02,  1.49206551e-01,  1.77816061e-01
 -1.75200000e+00,  8.59757041e-02,  1.50629545e-01,  1.77916068e-01
 -1.74400000e+00,  8.71864340e-02,  1.52053208e-01,  1.77983087e-01
 -1.73600000e+00,  8.84085554e-02,  1.53477275e-01,  1.78016639e-01
 -1.72800000e+00,  8.96420704e-02,  1.54901475e-01,  1.78016244e-01
 -1.72000000e+00,  9.08869790e-02,  1.56325535e-01,  1.77981430e-01
 -1.71200000e+00,  9.21432790e-02,  1.57749177e-01,  1.77911727e-01
 -1.70400000e+00,  9.34109659e-02,  1.59172122e-01,  1.77806671e-01
 -1.69600000e+00,  9.46900329e-02,  1.60594084e-01,  1.77665804e-01
 -1.68800000e+00,  9.59804712e-02,  1.62014775e-01,  1.77488670e-01
 -1.68000000e+00,  9.72822693e-02,  1.63433903e-01,  1.77274821e-01
 -1.67200000e+00,  9.85954136e-02,  1.64851172e-01,  1.77023815e-01
 -1.66400000e+00,  9.99198881e-02,  1.66266284e-01,  1.76735215e-01
 -1.65600000e+00,  1.01255674e-01,  1.67678936e-01,  1.76408589e-01
 -1.64800000e+00,  1.02602751e-01,  1.69088821e-01,  1.76043515e-01
 -1.64000000e+00,  1.03961095e-01,  1.70495632e-01,  1.75639574e-01
 -1.63200000e+00,  1.05330681e-01,  1.71899054e-01,  1.75196356e-01
 -1.62400000e+00,  1.06711480e-01,  1.73298773e-01,  1.74713457e-01
